order	stage_en	stage_zh	tool	status	lineage	platform	role_en	role_zh	repo
19	Sequence alignment	序列比对	ClustalW	L	-> MAFFT/Clustal Omega	shared	classic early progressive aligner	经典早期渐进比对	
20	Distance, ANI, dereplication	距离/ANI/去冗余	FastANI	R	-	shared	fast whole-genome ANI; module 04.5 species-confirmation gate	快速全基因组 ANI；模块 04.5 物种确认门控	ParBLiSS/FastANI
20	Distance, ANI, dereplication	距离/ANI/去冗余	Mash	R	-	shared	MinHash genome/reads distance	MinHash 基因组距离	marbl/Mash
20	Distance, ANI, dereplication	距离/ANI/去冗余	snp-dists	R	-	shared	pairwise SNP distance matrix	两两 SNP 距离矩阵	tseemann/snp-dists
20	Distance, ANI, dereplication	距离/ANI/去冗余	dRep	R	-	shared	genome/MAG dereplication and selection	基因组去冗余与代表挑选	MrOlm/drep
20	Distance, ANI, dereplication	距离/ANI/去冗余	skani	A	-	shared	sensitive fast ANI on draft genomes	草稿基因组敏感快速 ANI	bluenote-1577/skani
20	Distance, ANI, dereplication	距离/ANI/去冗余	pyani (ANIm/ANIb)	A	-	shared	ANI with alignment and plots	ANI 计算与作图	widdowquinn/pyani
20	Distance, ANI, dereplication	距离/ANI/去冗余	CD-HIT	A	-	shared	cluster proteins/reads/sequences	蛋白/序列聚类	weizhongli/cdhit
20	Distance, ANI, dereplication	距离/ANI/去冗余	JSpeciesWS / OrthoANI	L	-> FastANI/skani	shared	older/web ANI calculators	旧版/在线 ANI 计算	
21	Phylogenetic inference	系统发育树	IQ-TREE 3 (iqtree3/2/1)	R	major versions iqtree -> iqtree2 -> iqtree3	shared	ML phylogeny with ModelFinder/UFBoot2	极大似然建树，含选模与超快自展	iqtree/iqtree3
21	Phylogenetic inference	系统发育树	RAxML-NG	A	replaces RAxML 8	shared	next-generation ML phylogenetics	新一代极大似然建树	amkozlov/raxml-ng
21	Phylogenetic inference	系统发育树	FastTree 2	A	-	shared	very fast approximate ML for large sets	快速近似 ML，适合大树	
21	Phylogenetic inference	系统发育树	PhyML	A	-	shared	ML phylogeny with model selection	极大似然建树与选模	
21	Phylogenetic inference	系统发育树	MEGA (11)	A	-	shared	GUI phylogenetics and alignment	图形界面建树比对	
21	Phylogenetic inference	系统发育树	MrBayes	A	-	shared	Bayesian phylogenetic inference	贝叶斯系统发育推断	
21	Phylogenetic inference	系统发育树	RAxML 8	L	-> RAxML-NG	shared	prior-generation ML tree builder	上一代 ML 建树	stamatak/standard-RAxML
22	Molecular dating	分子定年	TreeTime	R	-	shared	fast clock dating, ancestral states, mugration	快速分子钟定年与祖先重建	neherlab/treetime
22	Molecular dating	分子定年	BactDating	A	-	shared	ML/Bayesian ancestor-dated trees for bacteria	细菌 ML/贝叶斯祖先定年	xavierdidelot/BactDating
22	Molecular dating	分子定年	BEAST 2	A	-	shared	full Bayesian phylodynamics (complementary, heavy)	完整贝叶斯系统动力学，较重	
22	Molecular dating	分子定年	LSD / LSD2	A	-	shared	least-squares tip dating	最小二乘末端定年	
22	Molecular dating	分子定年	TempEst	A	-	shared	clock-like signal/temporal structure check	分子钟信号检查	
22	Molecular dating	分子定年	BEAST 1	L	-> BEAST 2 / TreeTime	shared	first-generation Bayesian dating platform	一代贝叶斯定年平台	
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	Scoary	R	-	shared	gene presence/absence pan-GWAS with population correction	基因存在缺失泛基因组关联	essejelli/Scoary
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	pyseer	R	Python reimplementation/extension of SEER	shared	mixed-model k-mer/SNP/gene GWAS	混合模型 k-mer/SNP/基因 GWAS	mgalardini/pyseer
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	PLINK 1.9	R	PLINK 2 available	shared	SNP GWAS, IBS/MDS covariates and QC	SNP GWAS、IBS/MDS 协变量	
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	DBGWAS	A	-	short	unitig/graph k-mer bacterial GWAS	unitig/图 k-mer 细菌 GWAS	
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	treeWAS / hogwash	A	-	shared	phylogeny-aware association tests	系统发育感知关联检验	sahlab/treeWAS
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	bugwas	A	-	shared	lineage-effect bacterial GWAS	谱系效应细菌 GWAS	
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	PLINK 2	A	replaces PLINK 1.9 in role	shared	rewritten scalable GWAS engine	重写的可扩展 GWAS 引擎	chrchang/plink-ng
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	GEMMA / FaST-LMM	A	-	shared	linear mixed model engines	线性混合模型引擎	
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	fsm-lite / dsk / panfeed	A	-	shared	informative k-mer counting for pyseer	为 pyseer 统计信息 k-mer	
23	Microbial GWAS and post-GWAS	微生物 GWAS 与后分析	SEER	L	-> pyseer	shared	original C++ sequence-element GWAS	初代 C++ 序列元件 GWAS	johnlees/seer
24	Visualization	可视化	ggtree / treeio (R)	R	-	shared	programmatic tree annotation and layer plots	编程式系统树注释图层	YuLab-SMU/ggtree
24	Visualization	可视化	iTOL	R	-	shared	web tree annotation with datasets	在线系统树注释与数据图层	
24	Visualization	可视化	GrapeTree	R	-	shared	MST/network trees from cgMLST or SNPs	cgMLST/SNP 最小生成树	achtman-lab/GrapeTree
24	Visualization	可视化	ComplexHeatmap (R)	R	-	shared	annotated heatmaps for matrices	矩阵注释热图	jokergoo/ComplexHeatmap
24	Visualization	可视化	Microreact	A	-	shared	web geographic/time/tree viewer	在线地图/时间/系统树	
24	Visualization	可视化	Phandango	A	-	shared	interactive tree plus pangenome/metadata	交互树+泛基因组/元数据	jameshadfield/phandango
24	Visualization	可视化	Nextstrain / Auspice	A	-	shared	phylodynamic interactive visualization	系统动力学交互可视化	nextstrain/auspice
24	Visualization	可视化	Dendroscope	A	-	shared	large-tree desktop viewer	大系统树桌面查看	
24	Visualization	可视化	FigTree	L	-> iTOL/ggtree	shared	older desktop tree viewer, maintenance limited	旧桌面系统树查看，维护少	
25	Workflow engines and reporting	流程引擎与报告	MultiQC	R	-	shared	aggregate QC reports across samples	跨样本汇总质控报告	ewels/MultiQC
25	Workflow engines and reporting	流程引擎与报告	Snakemake	A	-	shared	reproducible workflow language	可复现流程语言	snakemake/snakemake
25	Workflow engines and reporting	流程引擎与报告	Nextflow	A	-	shared	portable workflow language with containers	可移植容器化流程语言	nextflow-io/nextflow
25	Workflow engines and reporting	流程引擎与报告	Conda / Mamba (Bioconda)	R	-	shared	package and environment management	包与环境管理	bioconda/bioconda-recipes
25	Workflow engines and reporting	流程引擎与报告	GNU parallel	A	-	shared	simple per-sample parallelization	简单的多样本并行	
